timestep_s,vp_a_evtol_arrivals,vp_a_passengers_served,vp_a_rental_cars_injected,vp_a_parking_occupancy,vp_a_queue_length,vp_a_spillback_events,vp_b_evtol_arrivals,vp_b_passengers_served,vp_b_rental_cars_injected,vp_b_parking_occupancy,vp_b_queue_length,vp_b_spillback_events
1.0,0,0,0,0,0,0,0,0,0,0,0,0
31.0,0,0,0,0,0,0,0,0,0,0,0,0
61.0,0,0,0,0,0,0,0,0,0,0,0,0
91.0,0,0,0,0,0,0,0,0,0,0,0,0
121.0,0,0,0,0,0,0,0,0,0,0,0,0
151.0,0,0,0,0,0,0,0,0,0,0,0,0
181.0,0,0,0,0,0,0,0,0,0,0,0,0
211.0,0,0,0,0,1,0,0,0,0,0,0,0
241.0,0,0,0,0,0,0,0,0,0,0,1,0
271.0,0,0,0,1,0,0,0,0,0,0,0,0
301.0,0,0,0,1,1,0,0,0,0,1,0,0
331.0,0,0,0,1,0,0,0,0,0,1,0,0
361.0,0,0,0,2,0,0,0,0,0,1,0,0
391.0,1,2,2,2,0,0,0,0,0,1,0,0
421.0,1,2,2,2,0,0,0,0,0,1,0,0
451.0,1,2,2,2,0,0,0,0,0,1,0,0
481.0,1,2,2,1,0,0,0,0,0,1,0,0
511.0,1,2,2,1,0,0,0,0,0,1,0,0
541.0,1,2,2,1,0,0,0,0,0,1,1,0
571.0,1,2,2,1,1,0,0,0,0,1,0,0
